AAAA AF 11 20 0000000000000000000000E00000000FFD236
AAAA F2 12 00 000000000000000000FFF4000000000D48A0
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 01105E400005B
AAAA 02 14 00 2AFFF207EAFFFE00000001000000000000000074
AAAA 01 0C FF EDFF6E002400002B9400009D
AAAA 02 14 00 2CFFF607EB00000001000100000000000000007F
AAAA F1 12 00 000000000000000000000E00000000FFD337
AAAA F2 12 00 000000000000000000FFF4000000000D48A0
AAAA 02 14 00 37FFFA07ED00000000FFFF00000000000000008C
AAAA 02 14 00 33FFF407F0FFFFFFFE0000000000000000000082
AAAA F1 12 00 000000000000000000000E00000000FFD337
AAAA F2 12 00 000000000000000000FFF4000000000D48A0
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 01105E400005B
AAAA 01 0C FF EDFF6E002500002B9400009E
AAAA 02 14 00 32FFED07F4000000000000000000000000000083
AAAA 02 14 00 37FFEE07EF000000000002000000000000000086
AAAA F1 12 00 000000000000000000000E00000000FFD438
AAAA F2 12 00 000000000000000000FFF5000000000D48A1
AAAA 05 04 01 8A01F4DD
AAAA 02 14 00 39FFF507E8FFFEFFFF0000000000000000000081
AAAA 01 0C FF EDFF6E002400002B980000A1
AAAA 02 14 00 2EFFF607EE000000000000000000000000000082
AAAA F1 12 00 000000000000000000000F00000000FFD439
AAAA F2 12 00 000000000000000000FFF7000000000D48A3
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 01107C0000039
AAAA 02 14 00 35FFF107E3FFFF0000FFFF000000000000000075
AAAA 02 14 00 2DFFF107E7FFFF00010000000000000000000074
AAAA F1 12 00 000000000000000000000F00000000FFD53
AAAA AF 21 20 0000000000000000000FFF8000000000D48A4
AAAA 01 0C FF EDFF6E002500002B980000A2
AAAA 02 14 00 32FFED07ECFFFFFFFE0000000000000000000076
AAAA 02 14 00 39FFF307F6000000010000000000000000000093
AAAA F1 12 00 000000000000000000000F00000000FFD63B
AAAA F2 12 00 000000000000000000FFF8000000000D48A4
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 01107C0000039
AAAA 02 14 00 2EFFF207EB00000000FFFF000000000000000079
AAAA 01 0C FF EDFF6E002500002B980000A2
AAAA 02 14 00 3AFFEE07F1FFFF00000000000000000000000087
AAAA F1 12 00 000000000000000000000F00000000FFD63B
AAAA F2 12 00 000000000000000000FFF9000000000D48A5
AAAA 02 14 00 35FFF207E300000000000100000000000000007B
AAAA 02 14 00 35FFF807ED00000000000000000000000000008
AAAA AF 11 20 0000000000000000000000F00000000FFD73C
AAAA F2 12 00 000000000000000000FFF8000000000D48A4
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 05 04 01 8A01F4DD
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 01106ED000065
AAAA 01 0C FF EDFF6E002500002B960000A0
AAAA 02 14 00 32FFF207EC000100010001000000000000000083
AAAA 02 14 00 30FFF007E9FFFFFFFF0000000000000000000075
AAAA F1 12 00 000000000000000000000F00000000FFD73C
AAAA F2 12 00 000000000000000000FFF8000000000D48A4
AAAA 02 14 00 30FFF907EAFFFE00020000000000000000000082
AAAA 01 0C FF EDFF6E002500002B960000A0
AAAA 02 14 00 35FFF107DF000000010000000000000000000076
AAAA F1 12 00 000000000000000000000F00000000FFD83D
AAAA F2 12 00 000000000000000000FFF7000000000D48A3
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 01106ED000065
AAAA 02 14 00 2DFFF407EA00000002000100000000000000007E
AAAA 02 14 00 2EFFFC07E5FFFE0000000000000000000000007C
AAAA F1 12 00 000000000000000000000F00000000FFD83D
AAAA F2 12 00 000000000000000000FFF7000000000D48A3
AAAA 01 0C FF EDFF6E002500002B960000A0
AAAA 02 14 00 32FFFC07E9FFFFFFFE0001000000000000000083
AAAA 02 14 00 30FFF507E8FFFF0000000000000000000000007B
AAAA F1 12 00 000000000000000000000F00000000FFD93E
AAAA F2 12 00 000000000000000000FFF7000000000D48A3
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 01106ED000065
AAAA 02 14 00 34FFF807ECFFFE00010000000000000000000086
AAAA 01 0C FF EDFF6E002500002B9C0000A6
AAAA 02 14 00 2CFFF407F0000000000001000000000000000081
AAAA F1 12 00 000000000000000000000F00000000FFD93E
AAAA F2 12 00 000000000000000000FFF8000000000D48A4
AAAA 05 04 01 8A01F4DD
AAAA 02 14 00 3CFFEF07E5000000000001000000000000000081
AAAA 02 14 00 37FFF507EEFFFF00000000000000000000000088
AAAA F1 12 00 000000000000000000000F00000000FFDA3F
AAAA F2 12 00 000000000000000000FFFA000000000D48A6
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 01109320000AD
AAAA 01 0C FF EDFF6E002500002B9C0000A6
AAAA 02 14 00 2FFFF107DBFFFF00000000000000000000000069
AAAA 02 14 00 35FFF907E6FFFE00000000000000000000000081
AAAA F1 12 00 000000000000000000000F00000000FFDA3F
AAAA F2 12 00 000000000000000000FFFB000000000D48A7
AAAA 02 14 00 34FFF407EC000000000002000000000000000086
AAAA 01 0C FF EDFF6E002500002B9C0000A6
AAAA 02 14 00 2FFFF407DAFFFE0000000000000000000000006
AAAA AF 11 20 0000000000000000000001000000000FFDB41
AAAA F2 12 00 000000000000000000FFFC000000000D48A8
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 01109320000AD
AAAA 02 14 00 2DFFED07EDFFFF0000FFFF000000000000000073
AAAA 02 14 00 36FFF607E8FFFE00000000000000000000000081
AAAA F1 12 00 000000000000000000001000000000FFDC42
AAAA F2 12 00 000000000000000000FFFC000000000D48A8
